accession,gse,file,region,treatment,treatment_class,n_genes_mapped,n_genes_original
3,GSE162614,DEG_hypothalamus_GLP_1_MK_801_vs_vehicle_significant.csv,hypothalamus,GLP_1_MK_801,Conjugate,409,411
3,GSE162614,DEG_accumbens_GLP_1_MK_801_vs_Vehicle_significant.csv,accumbens,GLP_1_MK_801,Conjugate,3,3
3,GSE162614,DEG_brainstem_GLP_1_MK_801_vs_Vehicle_significant.csv,brainstem,GLP_1_MK_801,Conjugate,58,58
3,GSE162614,DEG_hypothalamus_GLP_1_vs_vehicle_significant.csv,hypothalamus,GLP_1,GLP1_Mono,1,1
3,GSE162614,DEG_brainstem_GLP_1_vs_Vehicle_significant.csv,brainstem,GLP_1,GLP1_Mono,74,79
3,GSE162614,DEG_hypothalamus_conjugate_2_vs_vehicle_significant.csv,hypothalamus,conjugate_2,Conjugate,26,26
3,GSE162614,DEG_accumbens_GLP_1_vs_Vehicle_significant.csv,accumbens,GLP_1,GLP1_Mono,26,26
4,GSE190218,DEG_hypothalamus_Lira_vs_Saline_significant.csv,hypothalamus,Lira,GLP1_Mono,1,1
4,GSE190218,DEG_hypothalamus_PYY_Lira_vs_Saline_significant.csv,hypothalamus,PYY_Lira,Dual_Agonist,3,3
4,GSE190218,DEG_hypothalamus_Lira_vs_Sham_significant.csv,hypothalamus,Lira,GLP1_Mono,98,98
4,GSE190218,DEG_hypothalamus_PYY_Lira_vs_Sham_significant.csv,hypothalamus,PYY_Lira,Dual_Agonist,1533,1533
5,GSE155178,DEG_nts_IP118_PY115_vs_Vehicle_significant.csv,nts,IP118_PY115,Dual_Agonist,42,42
5,GSE155178,DEG_pvn_IP118_PY115_vs_Vehicle_significant.csv,pvn,IP118_PY115,Dual_Agonist,90,91
5,GSE155178,DEG_arc_IP118_PY115_vs_Vehicle_significant.csv,arc,IP118_PY115,Dual_Agonist,20,20
6,GSE184435,DEG_dvc_COMBO_vs_saline_significant.csv,dvc,COMBO,Combination,30,31
6,GSE184435,DEG_dvc_AC710222_vs_saline_significant.csv,dvc,AC710222,Dual_Agonist,15,15
6,GSE184435,DEG_mbh_AC3174_vs_saline_significant.csv,mbh,AC3174,GLP1_Mono,239,241
6,GSE184435,DEG_dvc_AC3174_vs_saline_significant.csv,dvc,AC3174,GLP1_Mono,17,17
6,GSE184435,DEG_mbh_AC710222_vs_saline_significant.csv,mbh,AC710222,Dual_Agonist,96,97
6,GSE184435,DEG_mbh_COMBO_vs_saline_significant.csv,mbh,COMBO,Combination,224,226
8,GSE113071,DEG_young_hypothalamus_YA_Ex_vs_YA_ctrl_significant.csv,young_hypothalamus,YA_Ex,GLP1_Mono,1,1
8,GSE113071,DEG_agedlt_lung_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_lung,LT_A_Ex,GLP1_Mono,334,334
8,GSE113071,DEG_agedlt_kidney_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_kidney,LT_A_Ex,GLP1_Mono,864,864
8,GSE113071,DEG_agedst_hippocampus_ST_A_Ex_vs_ST_A_ctrl_significant.csv,agedst_hippocampus,ST_A_Ex,GLP1_Mono,1378,1378
8,GSE113071,DEG_young_hippocampus_YA_Ex_vs_YA_ctrl_significant.csv,young_hippocampus,YA_Ex,GLP1_Mono,2,2
8,GSE113071,DEG_agedlt_wbcs_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_wbcs,LT_A_Ex,GLP1_Mono,833,833
8,GSE113071,DEG_agedlt_liver_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_liver,LT_A_Ex,GLP1_Mono,334,334
8,GSE113071,DEG_agedlt_spleen_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_spleen,LT_A_Ex,GLP1_Mono,313,313
8,GSE113071,DEG_agedst_frontalcortex_ST_A_Ex_vs_ST_A_ctrl_significant.csv,agedst_frontalcortex,ST_A_Ex,GLP1_Mono,57,57
8,GSE113071,DEG_agedst_frontalcortex_ST_A_ctrl_KD_vs_ST_A_ctrl_significant.csv,agedst_frontalcortex,ST_A_ctrl_KD,KD_Experiment,151,151
8,GSE113071,DEG_agedlt_colon_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_colon,LT_A_Ex,GLP1_Mono,1203,1203
8,GSE113071,DEG_agedst_hippocampus_ST_A_Ex_KD_vs_ST_A_ctrl_significant.csv,agedst_hippocampus,ST_A_Ex_KD,GLP1_Mono,746,746
8,GSE113071,DEG_agedlt_adipose_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_adipose,LT_A_Ex,GLP1_Mono,1635,1635
8,GSE113071,DEG_agedlt_hypothalamus_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_hypothalamus,LT_A_Ex,GLP1_Mono,148,148
8,GSE113071,DEG_young_frontalcortex_YA_Ex_vs_YA_ctrl_significant.csv,young_frontalcortex,YA_Ex,GLP1_Mono,1,1
8,GSE113071,DEG_agedlt_heart_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_heart,LT_A_Ex,GLP1_Mono,35,35
8,GSE113071,DEG_agedlt_frontalcortex_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_frontalcortex,LT_A_Ex,GLP1_Mono,5,5
8,GSE113071,DEG_agedlt_skeletalmuscle_LT_A_Ex_vs_LT_A_ctrl_significant.csv,agedlt_skeletalmuscle,LT_A_Ex,GLP1_Mono,208,208
8,GSE113071,DEG_agedst_hippocampus_ST_A_ctrl_KD_vs_ST_A_ctrl_significant.csv,agedst_hippocampus,ST_A_ctrl_KD,KD_Experiment,369,369
8,GSE113071,DEG_agedst_frontalcortex_ST_A_Ex_KD_vs_ST_A_ctrl_significant.csv,agedst_frontalcortex,ST_A_Ex_KD,GLP1_Mono,58,58
10,GSE71850,DEG_hippocampus_blast_Exendin4_vs_Sham_significant.csv,hippocampus,blast_Exendin4,GLP1_Mono,267,267
10,GSE71850,DEG_hippocampus_blast_Exendin4_vs_Control_significant.csv,hippocampus,blast_Exendin4,GLP1_Mono,4,4
10,GSE71850,DEG_hippocampus_blast_Ex4_Po_t_TBI_vs_Control_significant.csv,hippocampus,blast_Ex4_Po_t_TBI,GLP1_Mono,1,1
10,GSE71850,DEG_hippocampus_blast_Ex4_Pre_TBI_vs_Sham_significant.csv,hippocampus,blast_Ex4_Pre_TBI,GLP1_Mono,386,386
10,GSE71850,DEG_hippocampus_blast_Ex4_Po_t_TBI_vs_Sham_significant.csv,hippocampus,blast_Ex4_Po_t_TBI,GLP1_Mono,493,493
10,GSE71850,DEG_hippocampus_blast_Ex4_Pre_TBI_vs_Control_significant.csv,hippocampus,blast_Ex4_Pre_TBI,GLP1_Mono,25,25
11,GSE41345,DEG_hippocampus_Ex4_vs_Sham_significant.csv,hippocampus,Ex4,GLP1_Mono,56,56
11,GSE41345,DEG_hippocampus_Ex4_mTBI_vs_Sham_significant.csv,hippocampus,Ex4_mTBI,GLP1_Mono,85,85
12,GSE39586,DEG_hypothalamus_combined_HD_GLP_1_vs_WT_CTR_significant.csv,hypothalamus,combined_HD_GLP_1,GLP1_Mono,30,30
12,GSE39586,DEG_hypothalamus_WT_GLP_1_vs_CTR_significant.csv,hypothalamus,WT_GLP_1,GLP1_Mono,4,4
12,GSE39586,DEG_hypothalamus_WT_Ex_4_vs_CTR_significant.csv,hypothalamus,WT_Ex_4,GLP1_Mono,3,3
